Gender,Rhythm1,Rhythm2,Rtotal,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PHB1,PHV1,PHA1,PH2,PHB2,PHV2,PHA2,PH3,PHB3,PHV3,PHA3,PH4,PHB4,PHV4,PHA4,PH5,PHB5,PHV5,PHA5,R1,RB1,RV1,RA1,R2,RB2,RV2,RA2,R3,RB3,RV3,RA3,R4,RB4,RV4,RA4,S1,SB1,SV1,SA1,S2,SB2,SV2,SA2,S3,SB3,SV3,SA3,S4,SB4,SV4,SA4,PS1,PSB1,PSV1,PSA1,PS2,PSB2,PSV2,PSA2,PS3,PSB3,PSV3,PSA3,PS4,PSB4,PSV4,PSA4,Branch
0,8,5,13,28.8,27.59,0,0,45,29.43,28.6,2.57,4.49,12.37,2,0.224,0.2052,0.2706,3,0.36,0.3306,0.3444,2,0.064,0.0684,0.0574,4,0.208,0.228,0.2296,3,0.252,0.228,0.2214,4,0.4144,0.448,0.48,1,0.0448,0.0544,0.045,5,0.308,0.336,0.42,1,0.07,0.0864,0.051,4,0.1764,0.1568,0.1056,1,0.0546,0.0182,0.0198,2,0.1134,0.0588,0.0792,4,0.2184,0.2128,0.0968,1,0.0385,0.0592,0.0684,1,0.0209,0.0288,0.036,1,0.022,0.0352,0.0306,2,0.0572,0.0736,0.09,O
1,8,7,15,24.43,24.6,0,0,44.87,41.38,35.61,4.83,3.87,13.66,3,0.336,0.3078,0.4059,5,0.6,0.551,0.574,4,0.128,0.1368,0.1148,4,0.208,0.228,0.2296,1,0.084,0.076,0.0738,1,0.1036,0.112,0.12,5,0.224,0.272,0.225,1,0.0616,0.0672,0.084,2,0.14,0.1728,0.102,4,0.1764,0.1568,0.1056,1,0.0546,0.0182,0.0198,1,0.0567,0.0294,0.0396,2,0.1092,0.1064,0.0484,1,0.0385,0.0592,0.0684,2,0.0418,0.0576,0.072,4,0.088,0.1408,0.1224,2,0.0572,0.0736,0.09,O
0,7,8,15,27.12,26.27,0,0,44.18,37.49,26.96,5.64,4.29,12.77,4,0.448,0.4104,0.5412,2,0.24,0.2204,0.2296,1,0.032,0.0342,0.0287,4,0.208,0.228,0.2296,4,0.336,0.304,0.2952,4,0.4144,0.448,0.48,3,0.1344,0.1632,0.135,4,0.2464,0.2688,0.336,2,0.14,0.1728,0.102,4,0.1764,0.1568,0.1056,3,0.1638,0.0546,0.0594,5,0.2835,0.147,0.198,1,0.0546,0.0532,0.0242,1,0.0385,0.0592,0.0684,1,0.0209,0.0288,0.036,5,0.11,0.176,0.153,3,0.0858,0.1104,0.135,A
0,8,7,15,28,27.91,0,0,44.01,38.44,35.61,5.55,4.73,9.32,5,0.56,0.513,0.6765,1,0.12,0.1102,0.1148,2,0.064,0.0684,0.0574,1,0.052,0.057,0.0574,5,0.42,0.38,0.369,4,0.4144,0.448,0.48,3,0.1344,0.1632,0.135,4,0.2464,0.2688,0.336,2,0.14,0.1728,0.102,3,0.1323,0.1176,0.0792,3,0.1638,0.0546,0.0594,5,0.2835,0.147,0.198,4,0.2184,0.2128,0.0968,3,0.1155,0.1776,0.2052,5,0.1045,0.144,0.18,4,0.088,0.1408,0.1224,4,0.1144,0.1472,0.18,A
1,4,2,6,31.05,27.14,0,0,43.91,51.95,49.74,10,3.69,15,3,0.336,0.3078,0.4059,5,0.6,0.551,0.574,5,0.16,0.171,0.1435,2,0.104,0.114,0.1148,5,0.42,0.38,0.369,5,0.518,0.56,0.6,2,0.0896,0.1088,0.09,2,0.1232,0.1344,0.168,4,0.28,0.3456,0.204,3,0.1323,0.1176,0.0792,1,0.0546,0.0182,0.0198,4,0.2268,0.1176,0.1584,4,0.2184,0.2128,0.0968,5,0.1925,0.296,0.342,4,0.0836,0.1152,0.144,4,0.088,0.1408,0.1224,4,0.1144,0.1472,0.18,V
0,8,6,14,27.98,31.8,0,2,43.76,32.89,32.89,3.72,4.46,12.75,5,0.56,0.513,0.6765,4,0.48,0.4408,0.4592,3,0.096,0.1026,0.0861,4,0.208,0.228,0.2296,5,0.42,0.38,0.369,5,0.518,0.56,0.6,4,0.1792,0.2176,0.18,3,0.1848,0.2016,0.252,4,0.28,0.3456,0.204,1,0.0441,0.0392,0.0264,4,0.2184,0.0728,0.0792,1,0.0567,0.0294,0.0396,4,0.2184,0.2128,0.0968,4,0.154,0.2368,0.2736,2,0.0418,0.0576,0.072,2,0.044,0.0704,0.0612,5,0.143,0.184,0.225,A
0,8,5,13,28.15,28.69,0,0,43.25,32.01,32.89,3.72,4.67,10.11,2,0.224,0.2052,0.2706,2,0.24,0.2204,0.2296,2,0.064,0.0684,0.0574,1,0.052,0.057,0.0574,5,0.42,0.38,0.369,2,0.2072,0.224,0.24,4,0.1792,0.2176,0.18,3,0.1848,0.2016,0.252,5,0.35,0.432,0.255,3,0.1323,0.1176,0.0792,1,0.0546,0.0182,0.0198,3,0.1701,0.0882,0.1188,4,0.2184,0.2128,0.0968,3,0.1155,0.1776,0.2052,5,0.1045,0.144,0.18,2,0.044,0.0704,0.0612,2,0.0572,0.0736,0.09,O
1,8,2,10,28.15,28.43,0,0,43.23,41.38,40.39,6.51,4.33,14.38,5,0.56,0.513,0.6765,5,0.6,0.551,0.574,2,0.064,0.0684,0.0574,2,0.104,0.114,0.1148,3,0.252,0.228,0.2214,4,0.4144,0.448,0.48,5,0.224,0.272,0.225,2,0.1232,0.1344,0.168,1,0.07,0.0864,0.051,5,0.2205,0.196,0.132,4,0.2184,0.0728,0.0792,4,0.2268,0.1176,0.1584,5,0.273,0.266,0.121,4,0.154,0.2368,0.2736,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,3,0.0858,0.1104,0.135,B
1,2,2,4,27.23,27.67,0,0,43.21,45.46,42.38,6.75,4.04,10.41,3,0.336,0.3078,0.4059,5,0.6,0.551,0.574,1,0.032,0.0342,0.0287,1,0.052,0.057,0.0574,4,0.336,0.304,0.2952,3,0.3108,0.336,0.36,3,0.1344,0.1632,0.135,5,0.308,0.336,0.42,1,0.07,0.0864,0.051,2,0.0882,0.0784,0.0528,4,0.2184,0.0728,0.0792,5,0.2835,0.147,0.198,3,0.1638,0.1596,0.0726,3,0.1155,0.1776,0.2052,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,2,0.0572,0.0736,0.09,B
0,7,8,15,26.67,26.72,0,0,42.91,35.61,38.44,5.95,4.23,13.42,2,0.224,0.2052,0.2706,1,0.12,0.1102,0.1148,5,0.16,0.171,0.1435,4,0.208,0.228,0.2296,1,0.084,0.076,0.0738,2,0.2072,0.224,0.24,2,0.0896,0.1088,0.09,3,0.1848,0.2016,0.252,5,0.35,0.432,0.255,3,0.1323,0.1176,0.0792,1,0.0546,0.0182,0.0198,1,0.0567,0.0294,0.0396,1,0.0546,0.0532,0.0242,2,0.077,0.1184,0.1368,1,0.0209,0.0288,0.036,2,0.044,0.0704,0.0612,3,0.0858,0.1104,0.135,O
