Gender,R1,R2,Rhythm,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,Result
1,3,6,9,31.09,29.38,1,1,25.69,32.01,33.79,2.42,4.27,8.81,F
1,7,5,12,32.27,29.38,0,0,25.68,32.01,33.79,2.42,4.48,6.29,F
1,5,3,8,29.96,28.31,0,0,25.64,34.69,27.77,2.23,4.43,5.22,F
0,7,2,9,40.8,33.73,2,1,25.53,33.79,31.14,4.01,4.99,6.02,F
1,8,7,15,29.54,29.43,0,1,25.51,29.43,26.96,1.04,4.47,6.39,F
1,5,7,12,29.88,28.34,0,0,25.5,34.69,21.62,2.23,4.62,2.41,F
0,8,4,12,35.72,33.76,1,0,25.44,28.6,29.43,2.57,4.75,9.12,F
0,7,3,10,33.54,32.13,0,1,25.41,24.6,21.62,1.43,4.78,6.58,F
1,2,6,8,31.26,29.46,1,0,25.38,25.38,35.61,3,4.68,3.86,F
1,7,4,11,29.64,29.47,0,1,25.36,37.49,36.54,3.59,4.29,8.62,F
1,5,4,9,28.37,29.01,0,2,25.36,36.54,31.14,2.82,4.01,11.49,F
0,7,7,14,32.16,32.52,0,0,25.33,36.54,33.79,5.33,4.83,5.99,F
1,4,4,8,29.48,30.17,0,0,25.32,41.38,46.51,6.46,4.03,11.73,F
1,3,7,10,28.45,28.39,0,0,25.3,28.6,32.01,1.36,4.38,5.98,F
1,4,4,8,32.73,28.39,0,0,25.3,17.52,26.16,0,4.41,5.48,F
1,6,3,9,30.79,28.4,0,0,25.23,42.38,32.01,4.7,4.25,7.89,F
0,5,4,9,33.83,34.05,0,0,25.23,23.09,26.96,1.76,4.86,7.68,F
1,5,4,9,32.2,28.44,0,0,25.1,38.44,48.65,6.71,4.07,10.6,F
1,5,4,9,30.78,28.44,0,0,25.09,32.89,32.89,1.65,4.28,7.43,F
0,7,7,14,34.05,33.89,1,2,25.04,29.43,35.61,4.61,4.7,9.72,F
1,7,7,14,33.38,28.47,0,0,24.96,38.44,44.42,5.35,4.36,6.22,F
1,4,3,7,33.59,29.58,0,0,24.95,39.41,47.58,7.81,4.2,8.33,F
1,4,5,9,34.7,29.61,1,0,24.81,36.54,39.41,4.2,4.09,10.96,F
1,7,6,13,31.51,29.62,1,0,24.76,23.09,24.6,0,4.94,0.77,F
1,4,5,9,29.53,28.52,0,0,24.75,36.54,46.51,6.03,4.2,8.62,F
1,6,6,12,30.18,29.64,0,0,24.7,43.4,40.39,5.47,4.36,7.72,F
1,6,4,10,34.92,28.55,0,0,24.63,42.38,32.01,4.7,4.25,7.89,F
1,7,8,15,33.19,28.55,0,0,24.62,35.61,27.77,2.52,4.33,6.7,F
1,7,7,14,29.62,28.55,0,0,24.62,16.87,31.14,1.08,4.28,7.43,F
0,8,5,13,35.95,32.38,1,0,24.6,30.28,29.43,3.29,4.99,4,F
1,7,8,15,28.58,28.74,0,0,24.51,42.38,38.44,4.7,4.6,2.71,F
0,7,5,12,34.92,34.05,1,0,24.51,26.96,34.69,4.31,5.01,5.87,F
1,5,4,9,30.09,29.69,0,0,24.51,28.6,29.43,1.04,4.49,6.14,F
1,4,4,8,30.88,29.7,1,0,24.45,41.38,47.58,6.79,4.28,8.65,F
1,6,6,12,31.58,28.59,0,0,24.45,27.77,34.69,2.23,4.48,4.52,F
0,7,8,15,34.99,32.45,2,0,24.4,26.16,21.62,1.95,4.59,8.99,F
0,4,7,11,37.37,34.1,1,0,24.36,21.62,20.91,0,4.88,7.5,F
1,7,6,13,30.86,29.74,0,0,24.32,39.41,42.38,5.14,3.98,12.3,F
1,8,5,13,32.05,29.74,1,0,24.31,37.49,39.41,4.2,4.09,10.97,F
0,7,7,14,-2,34.11,0,0,24.31,22.35,23.84,0.73,5.17,3.85,F
1,4,8,12,30.67,28.64,0,0,24.23,38.44,30.28,3.43,4.12,9.79,F
0,6,5,11,33.33,32.5,1,1,24.22,26.16,28.6,2.74,4.59,8.99,F
1,5,5,10,30.68,28.66,0,0,24.16,43.4,43.4,5.02,4.06,10.76,F
0,6,7,13,32.52,32.58,0,0,24.16,30.28,16.87,3.29,5.13,2.19,F
1,4,4,8,31.53,29.78,0,0,24.15,38.44,34.69,3.89,4.28,8.65,F
1,4,4,8,31.83,29.78,0,0,24.14,38.44,35.61,3.89,4.32,8.27,F
1,6,7,13,28.67,28.92,0,0,24.11,34.69,36.54,2.82,4.35,6.43,F
1,7,8,15,30.31,28.68,0,0,24.09,44.42,38.44,5.35,3.98,11.93,F
0,4,5,9,33.55,32.55,0,1,24.08,23.09,21.62,0.94,4.67,7.98,F
0,7,8,15,33.07,32.57,0,0,23.99,19.52,23.84,1.19,4.94,4.6,F
1,5,5,10,28.71,30.92,1,1,23.93,17.52,34.69,2.23,4.27,7.65,F
1,5,8,13,28.72,29.33,1,2,23.93,32.89,34.69,2.23,3.98,11.92,F
1,3,4,7,30.34,28.72,0,0,23.91,36.54,37.49,3.12,4.08,10.49,F
0,5,5,10,35.01,32.62,0,0,23.83,26.16,30.28,3.29,4.65,8.18,F
1,7,5,12,29.88,32.81,0,3,23.77,33.79,34.69,2.71,4.54,5.56,F
1,0,4,4,30.12,28.76,1,0,23.74,36.54,28.6,2.82,4.38,5.94,F
1,3,7,10,29.9,33.69,0,1,23.7,41.38,31.14,4.83,4.57,5.19,F
1,6,8,14,31.93,28.79,0,0,23.62,40.39,29.43,4.06,4.91,0,F
0,4,5,9,34.65,32.69,1,0,23.62,32.01,31.14,3.85,4.62,8.59,F
1,4,8,12,30.18,28.8,2,0,23.56,34.69,36.54,2.82,3.97,12.13,F
1,6,7,13,32.49,28.8,2,0,23.56,22.35,26.16,0,4.45,5,F
1,5,4,9,29.05,28.8,0,0,23.55,43.4,44.42,5.35,4.17,9.11,F
1,7,2,9,32.17,28.82,0,0,23.49,32.01,30.28,1.36,4.3,7.17,F
1,7,6,13,28.84,28.83,0,1,23.46,42.38,30.28,4.7,5.01,0,F
1,3,5,8,37.19,29.99,0,0,23.33,32.01,35.61,3,4.56,5.37,F
1,4,5,9,36.43,28.86,0,0,23.32,53.07,47.58,8.14,4.51,4.05,F
0,7,8,15,36.54,32.78,3,0,23.32,28.6,20.91,2.74,4.96,4.38,F
1,2,5,7,31.01,30,1,1,23.3,39.41,38.44,4.2,4.25,9.05,F
0,7,8,15,36.72,32.79,1,1,23.3,20.91,23.84,1.19,4.49,10.21,F
1,4,4,8,30.47,28.87,0,0,23.28,40.39,42.38,4.7,4.43,5.27,F
1,6,7,13,32.28,28.87,0,0,23.28,38.44,40.39,4.06,3.97,12.16,F
1,7,8,15,32.94,28.89,0,0,23.2,27.77,33.79,1.93,4.4,5.73,F
0,6,4,10,34.75,32.83,0,0,23.16,28.6,31.14,3.57,5.44,0,F
0,6,7,13,36.24,34.48,1,0,23.14,25.38,27.77,2.03,4.81,8.3,F
1,6,6,12,33.58,28.91,0,1,23.12,37.49,37.49,3.12,4.56,3.32,F
1,7,7,14,31.4,28.92,0,0,23.08,29.43,37.49,3.12,4.35,6.46,F
1,3,7,10,33.32,28.92,1,0,23.08,33.79,37.49,3.12,4.6,2.65,F
1,7,7,14,30.92,30.06,0,0,23.08,31.14,34.69,2.71,4.72,3.44,F
0,5,4,9,36.79,34.52,3,1,23.02,23.84,26.16,1.5,4.69,9.92,F
1,4,4,8,34.89,28.93,0,0,23.01,39.41,34.69,3.74,4.32,6.93,F
1,7,7,14,29.58,28.95,0,0,22.94,40.39,42.38,4.7,4.19,8.84,F
0,7,3,10,33.95,32.9,0,0,22.94,11.63,9.61,0,5.17,1.75,F
0,7,8,15,32.92,33,2,1,22.87,32.89,26.96,4.14,4.72,7.39,F
0,6,6,12,39,32.93,1,0,22.85,32.89,25.38,4.14,4.73,7.19,F
1,2,7,9,31.98,28.98,0,0,22.83,43.4,37.49,5.02,4.65,1.92,F
1,5,5,10,30.13,35.1,0,1,22.8,41.38,42.38,5.14,4.25,9.03,F
1,2,8,10,30.92,28.98,2,3,22.8,35.61,39.41,3.74,3.95,12.43,F
1,8,3,11,31.07,30.15,1,0,22.72,43.4,51.95,8.18,4.17,9.96,F
1,5,5,10,30.16,30.58,0,1,22.7,42.38,42.38,5.14,4.23,9.24,F
1,4,5,9,30.7,29.02,0,0,22.66,31.14,37.49,3.12,4.15,9.35,F
1,7,8,15,30.83,29.03,1,0,22.61,41.38,34.69,4.38,4.54,3.59,F
1,6,3,9,31.35,30.18,0,0,22.6,29.43,26.16,1.04,4.53,5.76,F
0,7,5,12,34.66,35.59,1,2,22.57,29.43,29.43,2.57,4.76,8.93,F
1,6,8,14,31.32,29.07,2,0,22.45,22.35,36.54,2.82,4.2,8.6,F
1,5,6,11,31.71,30.22,0,1,22.44,25.38,26.16,0,4.69,3.82,F
1,3,7,10,31.15,29.08,1,0,22.4,37.49,27.77,3.12,4.62,2.41,F
0,4,4,8,34.72,35.03,0,1,22.38,25.38,29.43,2.57,5.01,5.88,F
0,7,8,15,34.23,33.1,0,0,22.3,24.6,32.89,4.14,5.04,3.4,F
1,4,4,8,30.52,29.11,0,0,22.29,35.61,34.69,2.52,4.33,6.71,F
1,7,6,13,31.26,29.11,0,1,22.27,42.38,31.14,4.7,4.32,6.93,F
0,7,8,15,41.17,33.12,2,0,22.25,18.17,18.17,0,4.62,8.6,F
1,4,3,7,32.72,29.12,0,0,22.22,30.28,33.79,1.93,4.59,2.89,F
0,7,5,12,40.63,33.13,1,0,22.22,25.38,18.84,1.69,4.83,5.96,F
1,2,5,7,31.11,30.28,0,0,22.22,24.6,31.14,1.58,4.64,4.38,F
1,5,6,11,32.65,29.13,1,1,22.18,37.49,34.69,3.12,4.16,9.32,F
0,3,8,11,33.15,34.89,0,1,22.14,19.52,26.16,1.95,4.94,4.61,F
1,7,4,11,29.4,29.16,0,1,22.05,30.28,22.35,0.81,4.03,11.24,F
1,8,6,14,30.33,30.34,0,0,22.03,32.01,27.77,1.85,5.42,0,F
1,3,5,8,33.15,30.34,0,0,21.97,45.46,45.46,6.12,4.19,9.77,F
1,4,5,9,33.66,29.2,1,1,21.91,36.54,37.49,3.12,4.25,7.9,F
1,7,6,13,30.73,30.36,0,0,21.91,31.14,27.77,1.58,4.43,6.93,F
0,4,3,7,34.96,34.89,1,1,21.85,30.28,29.43,2.85,4.83,8.11,F
1,3,6,9,31.1,30.37,1,0,21.85,32.89,31.14,2.13,4.46,6.55,F
1,2,5,7,30.92,30.38,1,0,21.84,34.69,37.49,3.59,4.54,5.53,F
1,4,3,7,32.86,30.39,2,0,21.79,40.39,36.54,4.51,4.36,7.69,F
1,3,4,7,35.5,30.39,1,0,21.78,25.38,24.6,0,4.73,3.25,F
1,5,7,12,35.98,29.25,1,0,21.67,28.6,30.28,0.81,4.33,6.76,F
0,5,4,9,37.31,33.33,4,0,21.57,18.17,22.35,0.7,4.59,8.95,F
1,3,4,7,33.09,30.46,1,1,21.52,42.38,38.44,5.14,4.27,8.84,F
1,8,4,12,35,30.46,1,0,21.52,35.61,34.69,3,4.28,8.66,F
1,7,5,12,30.46,30.61,1,1,21.52,24.6,32.01,1.85,4.49,6.15,F
1,7,7,14,30.46,31.1,1,1,21.52,31.14,30.28,1.58,4.75,3.07,F
1,5,6,11,94.14,29.29,1,1,21.51,29.43,31.14,1.08,4.75,0.52,F
0,7,7,14,34.03,33.36,0,0,21.47,24.6,26.96,2.21,4.88,5.39,F
0,7,8,15,38.8,33.36,3,0,21.47,24.6,24.6,1.44,4.99,4,F
1,5,3,8,36.55,30.49,2,0,21.4,32.01,27.77,1.85,4.58,5.14,F
1,5,5,10,32.3,30.49,0,0,21.4,28.6,32.01,1.85,4.48,6.34,F
0,5,5,10,35.86,33.38,0,1,21.4,23.09,22.35,0.94,4.85,5.8,F
1,7,8,15,30.4,29.33,0,0,21.37,42.38,25.38,4.7,4.04,10.98,F
1,8,5,13,30.7,30.5,0,0,21.35,32.01,34.69,2.71,4.56,5.35,F
1,8,7,15,31.81,30.54,1,0,21.23,36.54,34.69,3.29,4.41,7.1,F
1,6,4,10,31.18,29.36,1,0,21.2,36.54,32.89,2.82,4.22,8.3,F
1,3,4,7,30.97,30.55,2,0,21.17,19.52,23.84,0,4.95,0.72,F
1,4,5,9,30.99,30.55,0,0,21.16,14.42,21.62,0,4.7,3.65,F
0,7,8,15,34.83,33.47,1,0,21.13,18.84,24.6,1.44,5.01,3.8,F
1,8,5,13,30.57,32.01,0,0,21.1,35.61,37.49,3.59,4.27,8.84,F
1,7,8,15,29.4,31.55,0,1,21.06,44.42,41.38,5.35,4.33,6.7,F
1,4,7,11,29.4,30.12,0,0,21.05,34.69,26.16,2.23,4.51,4.08,F
1,7,7,14,29.96,29.42,0,0,20.99,34.69,37.49,3.12,4.44,5.03,F
1,3,5,8,30.6,29.42,0,0,20.99,33.79,24.6,1.93,4.24,8.14,F
1,7,5,12,37.68,29.41,1,0,20.99,24.6,32.01,1.36,3.95,12.43,F
1,7,7,14,29.88,29.43,0,0,20.92,48.65,49.74,7.06,4.51,4.08,F
0,7,7,14,36.63,35.22,0,0,20.8,28.6,25.38,2.3,4.85,7.9,F
1,7,4,11,35.22,29.49,0,1,20.7,36.54,41.38,4.38,4.27,7.65,F
1,3,7,10,29.5,30.54,0,1,20.65,30.28,36.54,2.82,4.3,7.16,F
1,3,4,7,34.71,29.53,0,0,20.52,32.89,33.79,1.93,4.78,0,F
0,3,3,6,38.09,33.66,0,0,20.51,26.96,31.14,3.57,4.49,10.17,F
1,5,3,8,38.95,29.53,1,1,20.49,27.77,31.14,1.08,4.35,6.46,F
1,6,8,14,32.25,29.55,0,0,20.42,33.79,37.49,3.12,4.37,6.19,F
1,7,2,9,34.64,29.57,0,0,20.32,32.01,31.14,1.36,4.38,5.98,F
1,7,8,15,30.6,29.58,0,1,20.29,50.84,50.84,7.42,4,11.68,F
1,6,5,11,33.52,29.59,0,0,20.24,32.89,31.14,1.65,4.51,4.03,F
1,5,4,9,29.61,29.82,0,0,20.19,24.6,32.01,1.36,4.04,10.98,F
1,6,6,12,33.39,29.61,0,0,20.18,47.58,43.4,6.37,4.15,9.35,F
1,5,6,11,34.22,30.81,1,0,20.18,36.54,37.49,3.59,4.25,9.03,F
1,8,5,13,30.81,31.06,1,0,20.15,28.6,33.79,2.42,4.59,4.99,F
1,4,4,8,31.84,30.83,0,0,20.1,29.43,23.09,1.04,4.4,7.22,F
1,3,4,7,35.96,30.85,1,0,20.03,31.14,34.69,2.71,4.33,8.05,F
1,5,5,10,29.64,29.67,0,0,20.03,34.69,29.43,2.23,4.42,5.43,F
0,4,4,8,35.66,33.81,1,0,20.03,23.84,26.96,2.21,4.84,5.84,F
0,2,4,6,33.82,34.36,0,1,20,26.16,21.62,1.95,4.76,6.81,F
1,6,7,13,34.42,29.67,0,0,19.94,33.79,43.4,5.02,4.59,2.89,F
0,8,4,12,35.49,39,0,3,19.94,24.6,23.84,0.98,5.2,3.46,F
0,5,5,10,38.89,35.53,2,1,19.82,26.96,23.84,1.76,5.44,0.4,F
1,7,4,11,30.91,31.18,1,1,19.78,30.28,35.61,3,4,12.1,F
1,4,4,8,33.28,30.25,0,0,19.74,38.44,39.41,3.71,4.49,4.56,F
1,8,1,9,31.28,30.92,1,0,19.73,21.62,23.84,0,4.7,3.63,F
1,3,4,7,30.5,29.72,0,0,19.72,23.84,41.38,4.38,4.12,9.81,F
1,7,2,9,30.99,30.93,1,0,19.72,32.89,32.01,2.13,4.32,8.19,F
1,7,7,14,29.77,29.72,0,0,19.71,34.69,23.84,2.23,4.32,6.92,F
1,7,7,14,32.1,29.72,1,0,19.71,26.96,33.79,1.93,4.73,0.74,F
1,5,4,9,35.09,29.74,1,0,19.65,37.49,38.44,3.43,4.46,4.79,F
1,6,4,10,29.74,29.8,0,0,19.62,26.96,18.84,0,4.38,5.98,F
1,3,7,10,30.97,32.94,1,2,19.53,34.69,30.28,2.71,4.75,3.07,F
1,3,8,11,30.91,29.79,0,1,19.43,18.84,28.6,0.26,4.78,0,F
1,3,5,8,31.31,29.8,0,0,19.38,29.43,33.79,1.93,4.47,4.58,F
1,4,5,9,29.88,29.8,0,0,19.37,48.65,45.46,6.71,3.95,12.41,F
1,4,5,9,31.23,31.02,0,0,19.36,31.14,30.28,1.58,4.37,7.66,F
0,5,3,8,37.52,35.69,0,0,19.31,28.6,35.61,4.61,4.93,6.88,F
1,8,4,12,32.04,31.03,1,0,19.3,30.28,29.43,1.31,4.57,5.17,F
1,6,8,14,31.62,29.82,1,0,19.3,27.77,26.16,0,4.69,1.43,F
1,4,4,8,33.21,31.04,2,1,19.28,42.38,44.42,5.79,4.38,7.51,F
0,5,4,9,-2,34.05,0,0,19.27,23.84,21.62,1.19,4.6,8.8,F
1,7,7,14,33.95,31.05,1,0,19.24,29.43,38.44,3.89,4.45,6.7,F
1,8,7,15,32,31.05,0,0,19.23,38.44,40.39,4.51,4.51,5.97,F
1,7,7,14,33.79,29.85,0,0,19.19,42.38,46.51,6.03,4.28,7.41,F
1,7,3,10,29.84,29.88,0,0,19.19,35.61,24.6,2.52,4.59,2.87,F
1,3,5,8,32.14,31.08,0,0,19.12,45.46,43.4,6.12,4.21,9.59,F
0,3,3,6,35.24,34.09,1,2,19.12,34.69,38.44,5.95,4.32,12.39,F
1,4,4,8,33.92,31.08,1,0,19.12,30.28,30.28,1.31,4.61,4.8,F
1,7,2,9,34.37,31.08,0,0,19.12,19.52,20.91,0,5.13,0,F
1,7,8,15,32.06,29.86,1,0,19.11,30.28,29.43,0.81,4.57,3.14,F
1,6,5,11,32.5,29.9,0,0,18.96,42.38,44.42,5.35,4.29,7.37,F
1,6,2,8,33.49,29.9,3,1,18.94,35.61,33.79,2.52,4.27,7.63,F
1,2,3,5,31.61,29.91,0,0,18.92,42.38,34.69,4.7,4.09,10.25,F
1,5,5,10,30.25,29.91,1,2,18.9,40.39,37.49,4.06,4.35,6.43,F
1,5,5,10,32.25,31.18,0,0,18.74,28.6,33.79,2.42,4.11,10.76,F
1,6,6,12,33.87,31.18,0,0,18.73,39.41,37.49,4.2,4.33,8.07,F
1,3,4,7,33.32,31.19,2,0,18.68,22.35,24.6,0,4.94,0.77,F
1,6,5,11,35.89,31.2,2,1,18.66,29.43,29.43,1.04,4.59,4.99,F
0,7,8,15,34.25,35.39,1,0,18.61,35.61,21.62,5.03,4.35,12,F
1,8,5,13,31.23,31.23,0,0,18.56,25.38,26.16,0,4.67,4.02,F
1,3,6,9,31.74,30,0,0,18.52,30.28,28.6,0.81,4.22,8.39,F
0,7,1,8,36.62,34.28,1,0,18.51,40.39,29.43,6.59,4.81,6.2,F
1,4,4,8,30.02,30.21,1,2,18.47,44.42,43.4,5.35,3.91,12.92,F
1,3,4,7,35.46,31.28,0,0,18.35,40.39,40.39,4.51,4.54,5.59,F
1,6,7,13,36.64,32.38,0,0,18.35,30.28,30.28,0,4.68,0.53,F
1,6,6,12,31.18,30.05,0,0,18.31,39.41,41.38,4.38,4.2,8.62,F
1,5,5,10,35.6,30.06,1,0,18.3,24.6,32.89,1.65,4.13,9.78,F
1,8,7,15,39.09,31.32,2,0,18.19,35.61,34.69,3,4.54,5.56,F
1,6,3,9,30.23,30.09,1,0,18.16,28.6,33.79,1.93,4.44,5.03,F
1,4,7,11,31.76,31.36,0,1,18.02,34.69,40.39,4.51,4.61,4.77,F
1,4,4,8,35.21,30.13,1,1,18,31.14,38.44,3.43,4.28,7.41,F
1,7,7,14,31.57,31.37,1,0,17.99,35.61,39.41,4.2,4.3,8.45,F
1,4,5,9,30.14,30.3,0,0,17.97,17.52,23.84,0,4.77,0.22,F
1,7,4,11,35.25,30.14,0,0,17.95,35.61,37.49,3.12,4.62,2.37,F
1,3,6,9,32.67,30.15,1,0,17.91,51.95,31.14,7.77,4.17,9.09,F
1,8,4,12,32.5,31.4,0,0,17.87,37.49,36.54,3.59,4.35,7.85,F
0,4,4,8,38.73,36.16,2,2,17.82,20.21,21.62,0,5.79,0,F
1,5,5,10,31.9,31.43,0,1,17.79,28.6,28.6,0.77,4.82,2.28,F
1,4,6,10,31.43,31.54,0,1,17.79,25.38,25.38,0,4.83,2.12,F
1,6,4,10,30.82,30.18,0,0,17.77,35.61,30.28,2.52,4.56,3.35,F
1,7,8,15,36.56,30.19,1,0,17.75,37.49,38.44,3.43,4.29,7.37,F
1,8,7,15,33.16,31.43,1,0,17.75,28.6,29.43,1.04,4.8,2.48,F
1,5,5,10,33.95,31.44,0,0,17.74,37.49,37.49,3.59,4.38,7.55,F
1,7,2,9,35.93,31.45,1,0,17.68,34.69,34.69,2.71,4.36,7.71,F
1,4,5,9,33.8,30.21,1,0,17.66,33.79,32.89,1.93,4.73,0.71,F
1,3,3,6,34.38,31.48,0,0,17.57,33.79,37.49,3.59,4.24,9.23,F
1,3,3,6,32.51,30.53,0,0,17.56,35.61,32.01,1.81,4.32,6.86,F
1,6,7,13,33.42,31.49,2,1,17.53,33.79,36.54,3.29,4.28,8.66,F
1,7,6,13,33.48,30.24,1,1,17.52,30.28,34.69,2.23,4.43,5.28,F
1,6,4,10,33.99,30.26,0,0,17.44,32.01,28.6,1.36,4.75,0.49,F
1,4,0,4,31.51,34.27,0,1,17.44,18.17,28.6,0.77,4.56,5.38,F
1,4,3,7,33.46,31.52,2,1,17.43,31.14,32.89,2.13,4.62,4.6,F
1,4,5,9,33.28,30.27,0,0,17.4,30.28,31.14,1.08,4.53,3.82,F
1,5,4,9,34.37,31.57,0,1,17.24,34.69,39.41,4.2,4.41,7.11,F
1,8,4,12,31.85,31.57,0,0,17.22,24.6,23.09,0,5.13,0,F
1,3,5,8,31.93,31.6,0,0,17.13,29.43,30.28,1.31,4.51,5.96,F
1,5,2,7,35.75,31.6,3,0,17.13,28.6,30.28,1.31,4.49,6.14,F
1,7,7,14,32.35,30.36,3,2,17.05,32.01,21.62,1.36,4.54,3.59,F
1,4,4,8,35.32,30.36,0,0,17.03,28.6,32.89,1.65,4.24,8.07,F
1,7,5,12,30.36,30.89,0,0,17.01,33.79,32.01,1.93,4.3,7.16,F
1,7,4,11,31.22,30.37,1,1,17,42.38,26.96,4.7,3.95,12.44,F
1,3,6,9,32.24,31.63,1,0,17,30.28,31.14,1.58,5.31,0,F
1,8,7,15,34.11,31.63,0,0,17,31.14,29.43,1.58,4.64,4.4,F
1,8,2,10,32,31.63,0,0,17,21.62,30.28,1.31,4.97,0.42,F
1,3,4,7,36.13,30.37,1,1,16.99,22.35,26.16,0,4.67,1.7,F
0,6,7,13,34.76,36.19,1,2,16.98,29.43,31.14,3.57,4.83,6,F
1,6,3,9,35.24,31.65,1,0,16.93,17.52,34.69,2.71,4.41,7.12,F
1,3,8,11,30.39,31.55,0,1,16.9,19.52,19.52,0,5.12,0,F
1,5,5,10,34.07,31.66,1,1,16.86,31.14,30.28,1.58,4.43,6.91,F
0,4,4,8,39.14,34.81,0,0,16.84,27.77,23.84,2.47,4.85,5.8,F
1,7,7,14,31.72,30.42,0,0,16.76,37.49,19.52,3.12,4.24,8.11,F
1,7,5,12,34.6,31.74,1,0,16.56,38.44,39.41,4.2,4.48,6.34,F
1,4,4,8,-2,30.49,0,0,16.48,41.38,35.61,4.38,4.22,8.39,F
1,3,4,7,32.19,31.77,0,0,16.45,30.28,28.6,1.31,4.53,5.76,F
0,7,6,13,39.78,36.62,3,1,16.36,20.21,21.62,0,5.32,1.89,F
1,7,7,14,35.38,30.52,0,0,16.35,29.43,34.69,2.23,4.51,4.08,F
0,4,7,11,41.58,36.64,0,1,16.3,23.84,26.96,1.76,5.34,1.63,F
1,4,5,9,30.77,30.54,0,0,16.29,42.38,42.38,4.7,4.32,6.93,F
0,3,4,7,36.71,35.01,2,2,16.2,25.38,15.62,1.69,5.17,1.73,F
1,3,4,7,31.85,-2,1,12,16.16,32.89,32.89,2.13,4.44,6.73,F
1,7,8,15,30.57,32.92,0,2,16.15,29.43,32.01,1.36,4.57,3.14,F
1,7,7,14,30.63,30.6,0,0,16.02,27.77,28.6,0.26,4.89,0,F
1,5,3,8,33.69,31.89,2,1,15.99,33.79,32.01,2.42,4.37,7.64,F
1,3,3,6,35.02,30.63,1,0,15.89,32.89,32.01,1.65,4.43,5.24,F
1,7,3,10,31.94,33.23,1,2,15.8,35.61,35.61,3,4.53,5.74,F
1,3,4,7,32.24,30.67,0,0,15.74,35.61,34.69,2.52,4.46,4.79,F
0,5,5,10,40.71,36.83,3,1,15.69,22.35,27.77,2.03,5.22,3.22,F
1,4,3,7,33.32,32,1,1,15.55,20.91,28.6,0.77,4.67,4.04,F
1,7,6,13,32.39,32.01,0,0,15.53,34.69,34.69,2.71,4.56,5.38,F
1,7,4,11,36.65,30.72,3,1,15.51,37.49,35.61,3.12,4.11,10.04,F
0,3,8,11,41.67,35.22,3,0,15.5,45.46,40.39,8.25,4.59,8.99,F
1,5,5,10,31.68,30.73,1,0,15.47,32.89,33.79,1.93,0,7.77,F
0,6,7,13,35.24,37.1,0,1,15.46,19.52,20.91,0.23,5.13,2.22,F
1,3,3,6,33.67,32.04,1,2,15.41,32.01,33.79,2.42,4.45,6.71,F
1,7,7,14,32.4,30.75,0,0,15.4,20.91,20.21,0,4.94,0,F
1,3,4,7,31.66,30.76,0,0,15.34,26.16,22.35,0,4.64,2.13,F
1,5,5,10,36.76,32.08,4,0,15.26,26.16,25.38,0,4.8,2.49,F
1,7,8,15,30.81,31.79,0,0,15.13,47.58,40.39,6.37,4.06,10.73,F
1,3,3,6,30.81,31.78,0,2,15.13,7.78,25.38,0,4.57,3.1,F
0,4,7,11,41.98,37.01,3,0,15.12,26.96,26.16,1.76,4.91,7.06,F
1,4,8,12,30.83,31.21,0,0,15.07,32.01,32.89,1.65,4.91,0,F
1,6,7,13,34.28,32.14,2,0,15.02,32.01,31.14,1.85,4.7,3.66,F
0,5,3,8,37.61,37.08,0,0,14.9,20.91,20.91,0,5.3,2.22,F
1,4,4,8,35.46,30.88,0,0,14.86,27.77,26.96,0,4.41,5.51,F
1,4,4,8,33.38,30.91,1,0,14.74,26.96,30.28,0.81,4.65,1.92,F
1,3,3,6,-2,42.25,0,7,14.72,25.38,26.96,9.59,4.34,12.77,F
1,7,3,10,31.87,30.91,0,1,14.71,38.44,23.09,3.43,4.32,6.92,F
1,8,7,15,35.61,32.23,4,1,14.68,44.42,48.65,7.13,4.12,10.59,F
1,6,2,8,33.73,32.24,0,0,14.64,26.96,23.84,0.25,4.88,1.51,F
1,5,5,10,32.93,32.25,0,0,14.58,28.6,24.6,0.77,5.04,0,F
1,5,3,8,33.43,32.26,1,0,14.54,32.89,33.79,2.42,4.17,10,F
1,2,4,6,32.31,33.04,2,1,14.35,33.79,32.89,2.42,4.57,5.19,F
1,7,4,11,33.83,32.33,0,0,14.3,23.09,29.43,1.04,4.66,4.18,F
1,5,4,9,35.52,31.04,1,0,14.19,39.41,37.49,3.74,4.27,7.69,F
0,4,4,8,36.97,35.64,0,0,14.17,25.38,30.28,3.29,4.83,5.99,F
1,5,5,10,-2,32.38,0,1,14.09,36.54,31.14,3.29,4.3,8.45,F
1,2,5,7,32.92,32.4,0,0,14.03,30.28,34.69,2.71,4.64,4.42,F
1,3,6,9,31.92,31.08,0,0,13.99,38.44,35.61,3.43,4.54,3.6,F
1,7,7,14,-2,31.08,0,0,13.99,37.49,36.54,3.12,4.38,5.98,F
1,3,5,8,32.42,33.62,1,1,13.94,23.84,20.91,0,4.86,1.71,F
1,5,7,12,35.57,32.42,0,1,13.93,30.28,35.61,3,4.62,4.6,F
1,7,7,14,36.95,31.11,1,0,13.88,43.4,37.49,5.02,3.96,12.23,F
1,7,8,15,31.85,31.11,0,0,13.86,38.44,46.51,6.03,4.09,10.25,F
1,6,5,11,31.63,31.11,0,0,13.86,34.69,28.6,2.23,4.2,8.6,F
